발생년,발생월,발생일,발생시,주야,요일,발생지시도,사고유형_대분류,가해자법규위반,도로형태_대분류,가해자_당사자종별,피해자_당사자종별,경도,위도,사상자수
2019,1,1,0,야,화,부산,차대사람,중앙선 침범,교차로,승용차,보행자,129.1524645,35.15788411,1.0
2019,1,1,3,야,화,경기,차대차,중앙선 침범,단일로,승용차,승용차,126.857149,37.28829231,1.0
2019,1,1,16,주,화,경북,차대차,안전운전 의무 불이행,교차로,승용차,사륜오토바이(ATV),128.6092297,35.65010817,1.0
2019,1,1,19,야,화,대전,차대사람,안전운전 의무 불이행,교차로,승용차,보행자,127.3795598,36.35594639,1.0
2019,1,1,21,야,화,경북,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,128.9150412,35.89950573,1.0
2019,1,2,3,야,수,충북,차대차,안전운전 의무 불이행,단일로,특수차,화물차,127.8268431,37.02953764,1.7
2019,1,2,6,주,수,인천,차대차,안전운전 의무 불이행,단일로,승용차,기타,126.7064001,37.52536494,1.0
2019,1,2,10,주,수,서울,차대사람,안전운전 의무 불이행,단일로,건설기계,보행자,126.9952985,37.56844929,1.0
2019,1,2,10,주,수,경기,차대차,중앙선 침범,교차로,자전거,승용차,127.2568148,37.41679362,1.0
2019,1,2,15,주,수,충남,차량단독,안전운전 의무 불이행,단일로,화물차,없음,126.6255482,36.15067652,1.0
2019,1,2,16,주,수,전북,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,127.1425492,35.80841378,1.0
2019,1,2,18,야,수,전북,차대차,안전운전 의무 불이행,단일로,승용차,자전거,126.8838305,35.69684616,1.0
2019,1,2,18,야,수,경남,차대차,안전운전 의무 불이행,단일로,화물차,자전거,128.8077579,35.31663552,1.0
2019,1,2,19,야,수,경기,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,127.0670214,36.99570056,1.0
2019,1,2,23,야,수,경남,차대사람,안전운전 의무 불이행,교차로,승용차,보행자,128.6163896,34.8898279,1.0
2019,1,3,3,야,목,전남,차량단독,중앙선 침범,단일로,승용차,없음,126.3877819,34.74080413,1.0
2019,1,3,7,주,목,울산,차량단독,안전운전 의무 불이행,단일로,승용차,없음,129.2136267,35.64903729,1.0
2019,1,3,12,주,목,서울,차대사람,안전운전 의무 불이행,단일로,화물차,보행자,127.0705398,37.66189171,1.3
2019,1,3,17,주,목,서울,차대사람,안전운전 의무 불이행,단일로,승합차,보행자,126.9887834,37.56240025,1.0
2019,1,3,20,야,목,충남,차대차,신호위반,단일로,이륜차,화물차,127.1255695,36.50764269,1.0
2019,1,4,5,야,금,경기,차대차,신호위반,교차로,자전거,승용차,126.7942722,37.33470658,1.0
2019,1,4,7,주,금,대구,차대사람,안전운전 의무 불이행,단일로,화물차,보행자,128.5033081,35.85191091,1.0
2019,1,4,8,주,금,경북,차대차,안전운전 의무 불이행,단일로,건설기계,승용차,128.4802025,36.02568842,1.0
2019,1,4,10,주,금,경기,차대차,신호위반,교차로,화물차,승용차,126.9528858,37.03963375,1.0
2019,1,4,15,주,금,경기,차대사람,안전운전 의무 불이행,교차로,화물차,보행자,127.6371781,37.29659281,1.0
2019,1,5,1,야,토,경기,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,127.2207627,37.0106389,1.0
2019,1,5,1,야,토,전북,차량단독,안전운전 의무 불이행,단일로,승용차,없음,127.1206012,35.83379911,1.0
2019,1,5,2,야,토,강원,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,128.3275756,37.60026323,1.0
2019,1,5,4,야,토,부산,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,128.9779054,35.06907567,1.0
2019,1,5,8,주,토,대구,차대차,안전운전 의무 불이행,기타,화물차,화물차,128.6476351,35.94620162,1.3
2019,1,5,17,주,토,전남,차대차,안전운전 의무 불이행,단일로,화물차,화물차,127.5472889,34.90829133,1.3
2019,1,6,4,야,일,전북,차량단독,안전운전 의무 불이행,단일로,승용차,없음,127.0634238,35.79354629,1.0
2019,1,6,5,야,일,인천,차대사람,안전운전 의무 불이행,교차로,승용차,보행자,126.7298258,37.44852515,1.7
2019,1,6,12,주,일,대구,차대차,과속,교차로,이륜차,특수차,128.4354742,35.63034132,1.0
2019,1,6,14,주,일,강원,차대차,중앙선 침범,단일로,승용차,승용차,128.2571537,37.5810167,2.6999999999999997
2019,1,6,15,주,일,충북,차량단독,안전운전 의무 불이행,단일로,원동기장치자전거,없음,127.6963653,36.4449532,1.0
2019,1,6,15,주,일,전남,차대차,신호위반,교차로,화물차,승용차,126.6918482,34.97105161,2.0
2019,1,6,18,야,일,전북,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,126.8966329,35.80634913,1.0
2019,1,6,20,야,일,인천,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,126.6527963,37.40288538,1.0
2019,1,6,21,야,일,강원,차량단독,안전운전 의무 불이행,단일로,승용차,없음,127.9797729,37.41201406,1.3
2019,1,7,5,야,월,경남,차대차,신호위반,교차로,승합차,이륜차,128.6261355,34.88788951,1.0
2019,1,7,5,야,월,대구,차대사람,안전운전 의무 불이행,단일로,화물차,보행자,128.6407459,35.87412514,1.0
2019,1,7,9,주,월,충남,차대사람,안전운전 의무 불이행,단일로,승용차,보행자,126.6634165,36.59873562,1.0
2019,1,7,18,야,월,대전,차대사람,안전운전 의무 불이행,교차로,승합차,보행자,127.4105752,36.3098236,1.0
